Name,GW19_Status,GW19_Min,GW19_Pts,GW19_xG,GW19_xA,GW19_xGC,GW19_G,GW19_A,GW19_CS,GW19_Cost,GW20_Status,GW20_Min,GW20_Pts,GW20_xG,GW20_xA,GW20_xGC,GW20_G,GW20_A,GW20_CS,GW20_Cost,GW21_Status,GW21_Min,GW21_Pts,GW21_xG,GW21_xA,GW21_xGC,GW21_G,GW21_A,GW21_CS,GW21_Cost,GW22_Status,GW22_Min,GW22_Pts,GW22_xG,GW22_xA,GW22_xGC,GW22_G,GW22_A,GW22_CS,GW22_Cost,GW23_Status,GW23_Min,GW23_Pts,GW23_xG,GW23_xA,GW23_xGC,GW23_G,GW23_A,GW23_CS,GW23_Cost,GW24_Status,GW24_Min,GW24_Pts,GW24_xG,GW24_xA,GW24_xGC,GW24_G,GW24_A,GW24_CS,GW24_Cost,GW26_Status,GW26_Min,GW26_Pts,GW26_xG,GW26_xA,GW26_xGC,GW26_G,GW26_A,GW26_CS,GW26_Cost,GW27_Status,GW27_Min,GW27_Pts,GW27_xG,GW27_xA,GW27_xGC,GW27_G,GW27_A,GW27_CS,GW27_Cost
Kroupi.Jr,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bench,67,7,0.09,0.18,0.58,1,0,1,4.6,Bench,32,1,0.00,0.16,1.00,0,0,0,4.7,Bench,88,2,0.02,0.05,3.18,0,0,1,4.7
Mbeumo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,2,0.42,0.23,1.94,0,0,0,8.1,Start,90,6,0.13,0.09,1.11,0,1,0,8.6,Start,77,6,0.43,0.16,0.28,0,1,1,8.6
Mukiele,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,6,0.00,0.14,0.61,0,1,0,4.4,Start,82,4,0.00,0.15,1.39,0,1,0,4.4,Start,90,9,0.29,0.19,0.06,0,1,1,4.4,Start,90,2,0.11,0.13,2.53,0,0,0,4.6,Bench,11,1,0.00,0.00,0.00,0,0,0,4.6
Murillo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,2,0.00,0.01,1.90,0,0,0,5.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Muñoz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,71,1,0.11,0.89,0.40,0,0,0,5.9,Start,90,9,0.00,0.02,1.63,0,0,1,5.9
O'Reilly,Start,56,1,0.00,0.00,0.72,0,0,0,-,Bench,90,2,0.10,0.02,1.73,0,0,0,5.3,Start,17,1,0.00,0.01,0.00,0,0,0,5.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Palmer,Start,62,7,0.82,0.06,2.90,1,0,0,-,Start,90,2,0.13,0.03,0.99,0,0,0,10.4,Start,74,1,0.08,0.02,0.62,0,0,0,10.4,Start,90,9,0.82,0.02,1.52,1,0,1,10.4,Bench,0,0,0.00,0.00,0.00,0,0,0,10.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Petrović,Start,90,1,0.00,0.00,2.31,0,0,0,-,Start,90,1,0.00,0.00,1.13,0,0,0,4.5,Start,90,1,0.00,0.00,1.25,0,0,0,4.5,Start,90,2,0.00,0.00,1.05,0,0,0,4.5,Start,90,1,0.00,0.00,0.93,0,0,0,4.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Raya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,6,0.00,0.00,0.15,0,0,1,5.9,Start,90,2,0.00,0.00,1.51,0,0,0,6.0,Start,90,3,0.00,0.00,0.76,0,0,0,6.0
Raúl,Start,90,2,0.39,0.05,1.62,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rice,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,3,0.00,0.40,0.15,0,0,1,7.3,Start,90,5,0.00,0.11,1.51,0,0,0,7.6,Start,90,4,0.00,0.04,0.76,0,0,0,7.6
Rogers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,2,0.21,0.33,0.38,0,0,0,7.7,Start,90,2,0.20,0.03,0.50,0,0,1,7.6,Start,90,2,0.07,0.20,1.35,0,0,0,7.7
Saka,Start,82,6,0.38,0.02,0.67,0,1,1,-,Start,23,4,0.02,0.23,0.06,0,1,0,10.2,Start,77,3,0.13,0.02,0.30,0,0,1,10.2,Start,33,1,0.13,0.38,0.10,0,0,0,10.2,Start,90,2,0.07,0.43,0.71,0,0,0,10.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senesi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Start,90,8,0.06,0.02,1.38,0,0,1,4.8,Start,90,2,0.00,0.00,2.94,0,0,0,4.8,Start,90,5,0.06,0.01,3.27,0,0,1,4.9
Thiago,Start,90,2,0.20,0.01,1.01,0,0,1,-,Bench,90,17,1.72,0.03,0.85,3,0,0,7.1,Start,81,12,1.48,0.15,1.62,2,0,1,7.0,Start,90,2,0.17,0.08,1.59,0,0,0,7.1,Start,90,2,0.43,0.02,0.78,0,0,0,7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Thiaw,Start,90,4,0.20,0.01,1.09,0,0,0,-,Start,90,17,0.46,0.01,0.70,1,0,1,5.1,Start,45,-1,0.00,0.00,1.42,0,0,0,5.1,Start,90,9,0.00,0.01,0.29,0,0,1,5.1,Start,90,1,0.00,0.02,1.16,0,0,0,5.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Van Hecke,Start,90,0,0.00,0.02,2.06,0,0,0,-,Start,90,6,0.10,0.01,0.30,0,0,1,4.5,Bench,90,3,0.01,0.00,2.55,0,0,0,4.5,Bench,90,6,0.10,0.06,1.33,0,1,0,4.5,Bench,90,1,0.05,0.02,1.05,0,0,0,4.5,Bench,90,2,0.00,0.20,1.20,0,0,0,4.5,Bench,60,5,0.00,0.01,0.47,0,0,1,4.4,Bench,90,9,0.00,0.01,1.60,0,0,1,4.4
Wilson,Bench,84,2,0.12,0.01,1.62,0,0,0,-,Start,84,6,0.43,0.04,1.00,1,0,0,5.9,Bench,90,9,0.63,0.10,2.39,1,0,0,5.8,Bench,87,2,0.06,0.30,1.05,0,0,1,5.9,Start,90,10,0.07,0.10,1.59,1,0,0,5.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
